Transaction ID,User Name,Gender,Card Number,Bank Name,ATM Location,Transaction Type,Transaction Amount,Transaction Date,Transaction Time,Account Balance After Transaction,Status
TXN1001,Jon Phillips,Male,5570940814873601,ICICI Bank,Thane,Mini Statement,0,2025-04-17,04:16:25,33260,Failed
TXN1002,Cameron Keith,Male,9479771580378685,ICICI Bank,Nagpur,Cash Withdrawal,3261,2025-04-02,17:42:45,9448,Success
TXN1003,Dillon Hall,Male,8337443001111020,Axis Bank,Nagpur,Balance Enquiry,0,2025-04-07,06:44:56,32320,Success
TXN1004,Susan Brown,Female,2979048829363402,HDFC Bank,Pune,Cash Withdrawal,1022,2025-04-13,10:35:34,14740,Success
TXN1005,Mr. David Noble II,Male,8243764361601497,HDFC Bank,Mumbai,Cash Withdrawal,5424,2025-04-14,12:07:46,1771,Failed
TXN1006,Denise Mitchell,Female,0807864566089201,ICICI Bank,Pune,Cash Deposit,7396,2025-04-03,18:49:34,42642,Success
TXN1007,Mr. William Mann,Male,4875175073654551,Axis Bank,Thane,Mini Statement,0,2025-04-14,15:38:39,8058,Success
TXN1008,Benjamin Greene,Male,4837893345803783,ICICI Bank,Nagpur,Fund Transfer,3108,2025-04-05,17:09:15,9416,Success
TXN1009,Evelyn Bowman,Female,1313718305896430,HDFC Bank,Nagpur,Mini Statement,0,2025-04-17,22:20:59,24083,Success
TXN1010,Peggy Cooper,Female,8143099610829757,State Bank of India,Nagpur,Balance Enquiry,0,2025-04-14,15:12:15,19588,Success
TXN1011,Ryan Miller,Male,2168272443983286,ICICI Bank,Nashik,Fund Transfer,6503,2025-04-15,15:11:40,48487,Success
TXN1012,Emily Andrews,Female,7768702429486129,Kotak Bank,Thane,Cash Withdrawal,9098,2025-04-18,17:48:33,30446,Failed
TXN1013,Jaclyn Brandt,Female,3950140540576911,ICICI Bank,Nashik,Mini Statement,0,2025-04-07,22:57:47,13621,Success
TXN1014,April Jackson,Female,0597917935699248,Axis Bank,Pune,Fund Transfer,4514,2025-04-17,23:09:49,16879,Failed
TXN1015,Robert Jackson,Male,2311881081399203,Axis Bank,Pune,Mini Statement,0,2025-04-13,01:27:42,27103,Success
TXN1016,Emily Farmer,Female,1272138734996230,State Bank of India,Thane,Fund Transfer,7390,2025-04-09,01:43:44,47492,Failed
TXN1017,Leslie Nelson,Female,7257432763213269,Axis Bank,Mumbai,Mini Statement,0,2025-04-11,13:19:07,49470,Failed
TXN1018,Jeremy Long,Male,4216308639446654,Axis Bank,Mumbai,Cash Withdrawal,1179,2025-04-04,13:46:30,23369,Failed
TXN1019,Paul Morris,Male,2284227510538360,Axis Bank,Thane,Cash Deposit,5999,2025-04-03,06:14:04,83580,Success
TXN1020,Tara Davis,Female,9893070475113507,State Bank of India,Nashik,Mini Statement,0,2025-04-07,13:15:49,24262,Success
TXN1021,Mr. Joshua White,Male,6171480036547075,State Bank of India,Thane,Balance Enquiry,0,2025-04-19,14:17:43,48579,Failed
TXN1022,Lucas Jones,Male,0733929496151180,HDFC Bank,Pune,Cash Deposit,8619,2025-04-08,02:34:16,89393,Failed
TXN1023,Lisa Mclaughlin,Female,8986110787831836,State Bank of India,Thane,Mini Statement,0,2025-04-21,07:30:34,7983,Failed
TXN1024,Brian Robinson,Male,9172537308767422,ICICI Bank,Pune,Cash Withdrawal,4953,2025-04-14,01:41:46,23333,Success
TXN1025,Mary Faulkner,Female,7919966810319530,Kotak Bank,Nashik,Cash Deposit,8994,2025-04-14,09:24:06,56671,Failed
TXN1026,Katherine Arnold,Female,9570618232062690,Kotak Bank,Thane,Cash Deposit,7622,2025-04-13,02:14:52,39508,Failed
TXN1027,Nicholas Ryan,Male,9354365309524948,HDFC Bank,Mumbai,Cash Deposit,9106,2025-04-13,00:03:02,89393,Success
TXN1028,David Taylor,Male,6646809464417613,State Bank of India,Nashik,Cash Withdrawal,8793,2025-04-03,05:29:14,34946,Success
TXN1029,Alexander Kirk,Male,8385932734714210,State Bank of India,Nagpur,Fund Transfer,4750,2025-04-20,23:05:54,37337,Failed
TXN1030,Erin Wood,Female,1992071077933103,Axis Bank,Pune,Fund Transfer,6312,2025-04-06,01:51:20,21335,Success
TXN1031,Amanda Humphrey,Female,5681247364225859,ICICI Bank,Nashik,Fund Transfer,1484,2025-04-08,17:57:58,35280,Failed
TXN1032,Karen Gonzalez,Female,5334850228976805,State Bank of India,Mumbai,Fund Transfer,1817,2025-04-06,20:30:56,49321,Success
TXN1033,Carlos Reed,Male,6350299960677497,State Bank of India,Nashik,Balance Enquiry,0,2025-04-07,06:34:23,29876,Success
TXN1034,Richard Howell,Male,9628624311579372,ICICI Bank,Mumbai,Cash Deposit,1865,2025-04-15,02:07:27,23632,Success
TXN1035,Tyler Lowery,Male,0254112233551142,Axis Bank,Nagpur,Mini Statement,0,2025-04-08,22:28:41,40814,Failed
TXN1036,Sarah White,Female,1448420083580555,HDFC Bank,Thane,Mini Statement,0,2025-04-10,18:57:33,17261,Success
TXN1037,Patricia English,Female,4612415636791148,State Bank of India,Nagpur,Cash Withdrawal,6176,2025-04-21,01:06:46,24565,Success
TXN1038,Alison Simpson,Female,3151194148917555,Axis Bank,Mumbai,Fund Transfer,2791,2025-04-15,04:10:03,45996,Failed
TXN1039,Amy Peterson,Female,3622299391818870,State Bank of India,Thane,Fund Transfer,8778,2025-04-21,19:07:15,43511,Failed
TXN1040,Cameron Gonzales,Male,3065294148279509,State Bank of India,Mumbai,Balance Enquiry,0,2025-04-20,04:17:54,5848,Success
TXN1041,Jason Cooper,Male,4011995642216554,Kotak Bank,Nagpur,Cash Withdrawal,9346,2025-04-01,12:40:14,38533,Success
TXN1042,Katelyn Leach,Female,0157958533672050,Kotak Bank,Nashik,Mini Statement,0,2025-04-12,14:09:16,10737,Success
TXN1043,Gary Cruz,Male,4009576968543270,ICICI Bank,Nashik,Fund Transfer,3495,2025-04-14,02:58:59,36948,Success
TXN1044,David Stephens,Male,3740879665832173,ICICI Bank,Nashik,Fund Transfer,2710,2025-04-18,06:07:56,34229,Failed
TXN1045,Jennifer Ross,Female,4545980157313713,Axis Bank,Mumbai,Cash Withdrawal,4171,2025-04-04,13:25:31,25619,Failed
TXN1046,James Thomas,Male,8813668952238444,Kotak Bank,Thane,Cash Deposit,4246,2025-04-01,18:50:56,16890,Failed
TXN1047,Lawrence Hicks,Male,2132685457782885,Axis Bank,Mumbai,Mini Statement,0,2025-04-12,16:09:45,3509,Success
TXN1048,Miranda White,Female,3700622214341295,Kotak Bank,Mumbai,Cash Deposit,4778,2025-04-17,08:31:08,85914,Failed
TXN1049,Curtis Malone,Male,2519893141377269,ICICI Bank,Nagpur,Cash Deposit,3859,2025-04-04,01:57:59,70108,Success
TXN1050,Sharon Anderson,Female,4718439430579860,Axis Bank,Pune,Fund Transfer,2140,2025-04-08,11:58:28,6143,Failed
TXN1051,Charles Davis,Male,8135734770257845,Kotak Bank,Mumbai,Fund Transfer,2069,2025-04-04,17:36:09,22095,Failed
TXN1052,Kristen Houston,Female,7867039595826116,HDFC Bank,Thane,Fund Transfer,3500,2025-04-16,09:48:07,8240,Failed
TXN1053,Teresa Smith,Female,5193627640661764,Kotak Bank,Thane,Mini Statement,0,2025-04-11,17:45:17,49170,Success
TXN1054,Dylan Hayes,Male,7429802330356988,Kotak Bank,Mumbai,Balance Enquiry,0,2025-04-02,01:51:02,13131,Success
TXN1055,Cathy George,Female,6728056676453419,ICICI Bank,Nashik,Cash Withdrawal,9366,2025-04-06,15:08:01,28100,Success
